STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
1603,1603,Công ty TNHH Pou Hung Việt Nam,"Đường số 1, khu công nghiệp Chà Là, ấp Bình Linh, xã Chà Là, huyện Dương Minh Châu, tỉnh Tây Ninh",Sản xuất giày dép,8.293,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1604,1604,Chi nhánh Công ty cổ phần Dệt may đầu tư - Thương mại Thành Công,"Đường số 8, khu công nghiệp Trảng Bàng, xã An tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất sợi,3.696,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1605,1605,Công ty TNHH May mặc First Team Việt Nam,"Lô A1, đường 787, khu công nghiệp Thành Thành Công, phường An Hòa, thị xã Trảng Bàng, tỉnh Tây Ninh","Sản xuất vải dệt kim, vải đan móc và vải không dệt",4.989,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1606,1606,Công ty TNHH New Wide,"Lô số 45-16, đường N15, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh","Sản xuất vải dệt kim, vải đan móc và vải không dệt",2.901,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1607,1607,Công ty TNHH Billion Industrial Việt Nam,"Lô 43-16, đường N14, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh",Sản xuất sợi nhân tạo,31.190,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1608,1608,Chi nhánh Công ty cổ phần Sợi Thế Kỷ,"Đường số 8, khu công nghiệp Trảng Bàng, phường An Tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất sợi,8.131,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1609,1609,Công ty TNHH dệt sợi Continental (tên cũ Công ty TNHH Luthai (Việt Nam)),"Lô số 30-18, đường N16, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh",Sản xuất sợi,31.190,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1610,1610,Công ty TNHH Gain Lucky Việt Nam (tên cũ Công ty TNHH Gani Lucky Việt Nam),"Lô số 40-6, đường N14, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh","Sản xuất vải dệt kim, vải đan móc và vải không dệt",39.164,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1611,1611,Công ty TNHH Brotex,"Lô số 34-6, đường D11, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh",Sản xuất sợi,94.237,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1612,1612,Công ty TNHH MTV Inteplast Việt Nam,"Đường số 7, khu công nghiệp Trảng Bàng, phường An Tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất sản phẩm từ nhựa,1.049,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1613,1613,Công ty TNHH Cao su và nhựa Wantai,"Lô 42-6-2, đường N16, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh",Sản xuất nhựa màu EVA,1.157,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1614,1614,Công ty TNHH Cao su Thời Ích,"Đường số 12, khu công nghiệp Trảng Bàng, phường An Tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất và gia công vỏ ruột xe,2.172,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
