STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
1144,1144,Công ty TNHH Baosteel Can Making Việt Nam,"Số 02 đường số 15, khu công nghiệp VSIP II-A, thị xã Tân Uyên, tỉnh Bình Dương","Sản xuất sắt, thép, gang",2.540,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1145,1145,Công ty TNHH Pol Sheng Fastener (Việt Nam),"Đường số 2B, khu công nghiệp Quốc tế Protrade, phường An Tây, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất sắt, thép, gang",2.724,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1146,1146,Công ty TNHH thép Quang Thắng,"Khu phố 4, phường Thới Hòa, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất sắt, thép, gang",3.221,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1147,1147,Công ty TNHH Luyện cán thép Hùng Cường,"Khu phố 4, phường Thới Hòa, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất sắt, thép, gang",1.446,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1148,1148,Công ty cổ phần Maruichi Sunsteel,"ĐT743, khu phố Đông Tác, phường Tân Đông Hiệp, thành phố Dĩ An, tỉnh Bình Dương","Sản xuất sắt, thép, gang",10.911,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1149,1149,Công ty TNHH sản xuất Lê Phan Gia Bình Dươ n g,"Đường N4 và D 1 , khu công nghiệp Nam Tân Uyên mở rộng, thành phố Tân Uyên, tỉnh Bình Dương","Sản xuất sắt, thép, gang",2.221,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1150,1150,Công ty TNHH Luyện cán thép Việt Sinh,"Thửa đất số 603, tờ bản đồ số 13, ấp 6, xã Thường Tân, huyện Bắc Tân Uyên, tỉnh Bình Dương","Sản xuất sắt, thép, gang",1.099,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1151,1151,Công ty cổ phần thép Tuệ Minh,"Lô A5, đường D2, khu công nghiệp Đất Cuốc, xã Đất Cuốc, huyện Bắc Tân Uyên, tỉnh Bình Dương","Sản xuất sắt, thép,",58.930,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1152,1152,Công ty TNHH Thép Quyền Quyên,"Thửa đất số 837, tờ bản đồ số 27, khu phố 4, phường Thới Hòa, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất sắt, thép",1.163,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1153,1153,Công ty TNHH U y Kiệt,"Đường ĐH 409, tổ 4, khu phố ông Đông, phường Tân Hiệp, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,5.003,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1154,1154,Công ty TNHH C&H Tarps,"Khu phố Mỹ Hiệp, phường Thái Hòa, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.118,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1155,1155,Công ty TNHH Baiksan Việt Nam,"Số 50, đường số 3, khu công nghiệp VSIP II, phường Hoà Phú, thành ph ố Thủ D ầ u Một, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.058,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1156,1156,Công ty TNHH Acumen Houseware Industry Việt Nam,"Số 12, đại lộ Hữu Nghị, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.327,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1157,1157,Công ty TNHH Scientex Tsukasa Việt Nam,"Số 33, đại lộ Hữu Nghị, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.739,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1158,1158,Công ty TNHH sản xuất thương mại dịch vụ Tân Tường Khang,"Đường D2 và N5, khu công nghiệp Nam Tân Uyên, phường Khánh Bình, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,2.796,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1159,1159,Công ty cổ phần Nhựa Tín Kim,"Đường Đ3, khu công nghiệp Đồng An 2, phường Hòa Phú, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.250,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1160,1160,Công ty TNHH Hưng Dụ,"Số 32, đường Dân Chủ, khu công nghiệp VSIP II, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,2.405,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1161,1161,Công ty TNHH Rich Fame,"Lô C-7-CN, khu công nghiệp Mỹ Phước 2, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.966,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1162,1162,Công ty TNHH Nhựa Chinli Mỹ Phước,"Đường NA3, khu công nghiệp Mỹ Phước 2, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.636,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1163,1163,Công ty cổ phần Bao bì Nhựa TKT Việt Nam,"Thửa đất số 423, tờ bản đồ số 59, khu phố 7, phường Uyên Hưng, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.082,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1164,1164,Công ty cổ phần Cao su Công nghiệp Omexey,"Khu phố Ông Đông, phường Tân Hiệp, thành phố Tân Uyên, tỉnh Bình Dương","Sản xuất các loại lốp xe, ruột xe và phụ kiện lốp xe, ruột xe làm từ cao su.",1.189,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1165,1165,Công ty TNHH Accredo Asia,"Số 28, đường 32, khu công nghiệp VSIP II-A, huyện Bắc Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,2.794,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1166,1166,Công ty TNHH YAO - I Việt Nam,"Số 10, đường số 32, khu công nghiệp VSIP II-A, xã Tân Bình, huyện Bắc Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.387,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1167,1167,Công ty TNHH Gunze Plastics & Engineering Việt Nam,"Số 9, đường Hòa Bình, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.029,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1168,1168,Công ty TNHH Nhựa Duy Tân Bình Dương,"Lô B1-B2, khu công nghiệp Việt Hương 2, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,2.168,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1169,1169,Công ty TNHH Việt Nam K.K Plastic,"Số 2A, đường Dân Chủ, khu công nghiệp VSIP II, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.164,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1170,1170,Công ty TNHH sản xuất sản phẩm nhựa Cao su Chun Xiang,"Lô G6-G7, lô G4C-G5C, đường số 6 nối dài, khu công nghiệp Việt Hương 2, ấp 2, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,4.754,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1171,1171,Chi nhánh Công ty TNHH Bao bì nhựa Thái Dương,"Lô L7.4, khu công nghiệp Tân Đông Hiệp A, phường Tân Đông Hiệp, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.180,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1172,1172,Công ty TNHH Việt Danh,"Lô A-30, đường số 9, cụm công nghiệp Uyên Hưng, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.984,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1173,1173,Công ty TNHH Good Mark Industrial VietNam,"Lô T2-16 đến T2-23 đường Pasteur, khu 3, khu công nghiệp Quốc T ế Protrade, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.336,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1174,1174,Công ty TNHH Giày Vĩnh Nghĩa,"Thửa đất 1693, tờ bản đồ 32, khu phố Phú Nghị, phường Hòa Lợi, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.184,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1175,1175,Công ty TNHH Sun Ocean Việt Nam,"Lô CN3, khu công nghiệp Mai Trung, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.047,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1176,1176,Công ty TNHH MTV sản xuất và thương mại Nhựa Hà Linh,"Lô B2 - 26,27 đường số 3, khu công nghiệp Tân Đông Hiệp B, phường Tân Đông Hiệp, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,1.013,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1177,1177,Công ty TNHH Honda Metal Industries Việt Nam,"Số 31, đại lộ Tự Do, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương","Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị)",1.752,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1178,1178,Công ty TNHH Đông Nam,"DT 743, khu phố Chiêu Liêu, phường Tân Đông Hiệp, thành phố Dĩ An, tỉnh Bình Dương","Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị)",1.961,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1179,1179,Công ty TNHH Fookyik (Việt Nam) Furniture,"Đường CN13, CN14 & CN15, khu công nghiệp Tân Bình, xã Hưng Hoà, huyện Bàu Bàng, tỉnh Bình Dương",Sản xuất sản phẩm từ da lông thú,2.111,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1180,1180,Công ty TNHH ITM,"Lô B-6B1, đường NE5, khu công nghiệp Mỹ Phước 3, phường Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su và nhựa,1.431,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1181,1181,Công ty TNHH Yokohama Tyres Việt Nam,"Số 17, đường số 10, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su,1.680,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1182,1182,Chi nhánh công ty cổ phần Công nghiệp Cao su miền Nam (Xí nghiệp Lốp Radial),"Khu phố 7, phường Uyên Hưng, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su,4.862,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1183,1183,CN Công ty cổ phần Công nghiệp Cao su miền Nam (Xí nghiệp Cao su Bình Dương),"Khu phố 7, phường Uyên Hưng, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su,2.414,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1184,1184,Công ty TNHH U chiyama Việt Nam 1,"Số 25, đường số 6, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,4.214,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1185,1185,Công ty TNHH Srithai (Việt Nam),"Số 9, đường số 2, khu công nghiệp Sóng Thần 1, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,17.919,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1186,1186,Công ty TNHH Nhựa Đạt Hòa,"Lô C- 1 -CN, đường NA4, khu công nghiệp Mỹ Phước 2, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,2.660,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1187,1187,Công ty cổ phần Nhựa Youl Chon Vina,"Lô K-3-CN, khu công nghiệp Mỹ Phước II, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,2.328,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1188,1188,Công ty TNHH Lốp Kumho Việt Nam,"Lô D3-CN, khu công nghiệp Mỹ Phước 3, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ nhựa,13.725,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1189,1189,Công ty TNHH Ace Elite,"Số 2, đường số 24, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su,3.075,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1190,1190,Công ty TNHH Việt Ý,"Tổ 4, đường DH409, khu phố ông Đông, phường Tân Hiệp, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su,4.693,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1191,1191,Công ty TNHH Patel Việt Nam,"Lô B5-B8, khu công nghiệp Việt Hương 2, xã Phú An, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su,1.569,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1192,1192,Công ty TNHH Honda Industrial,"Ấ p Xóm Đèn, xã Tân Mỹ, huyện Bắc Tân Uyên, tỉnh Bình Dương",Sản xuất sản phẩm từ cao su,1.102,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1193,1193,Chi nhánh Công ty cổ phần Hơi kỹ nghệ Que Hàn (Xí nghiệp Hơi kỹ nghệ Que Hàn Bình Dương),"Lô A, đường số 1, khu công nghiệp Đồng An, phường Bình Hòa, thành phố Thuận An, tỉnh Bình Dương",Sản xuất hoá chất cơ bản,7.051,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1194,1194,Công ty TNHH Asuzac,"Số 01, đường 8, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất sản phẩm khác bằng kim loại,1.808,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1195,1195,Công ty TNHH nhôm Tiến Đạt,"Số 51/2 đường Bế Văn Đàn, khu phố Bình Đường 3, phường An Bình, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất sản phẩm khác bằng kim loại,3.489,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1196,1196,Công ty TNHH United Mechanical,"Lô M4A CN, khu công nghiệp Mỹ Phước 2, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm khác bằng kim loại,1.716,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1197,1197,Công ty TNHH Juwon Việt Nam,"Đường D9, khu công nghiệp Rạch Bắp, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm khác bằng kim loại,1.686,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1198,1198,Công ty TNHH Viet-Screw,"Đường số 2B, khu công nghiệp quốc tế Protrade, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất sản phẩm khác bằng kim loại,1.540,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1199,1199,Công ty TNHH Minh Long I,"Số 333, khu phố Hưng Lộc, phường Hưng Định, thành phố Thuận An, tỉnh Bình Dương",Sản xuất sản phẩm gốm sứ khác,8.602,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1200,1200,Công ty TNHH Ampacs International,"Lô B7-H-CN, khu công nghiệp Bàu Bàng, thị trấn Lai Uyên, huyện Bàu Bàng, tỉnh Bình Dương",Sản xuất sản phẩm điện tử dân dụng,2.098,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1201,1201,Công ty cổ phần Hưng Hải Thịnh,"Cụm công nghiệp Tam Lập, xã Tam Lập, huyện Phú Giáo, tỉnh Bình Dương","Sản xuất săm, lốp cao su; đắp và tái chế lốp cao su",2.951,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1202,1202,Công ty TNHH Camso Việt Nam,"Số 60/3 đại lộ Bình Dương, khu phố Tây, phường Vĩnh Phú, thành phố Thuận An, tỉnh Bình Dương","Sản xuất săm, lốp cao su; đắp và tái chế lốp cao su",1.194,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1203,1203,Công ty TNHH Ắc quy GS Việt Nam,"Số 18, đường số 3, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất pin và ắc quy,6.304,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1204,1204,Công ty TNHH Sheng Chang,"Lô I -1A-CN, khu công nghiệp Mỹ Phước II, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất pin và ắc quy,3.247,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1205,1205,Công ty TNHH Kỹ thuật Công nghệ Yacht (Việt Nam),"Lô A-9H-CN, khu công nghiệp Bàu Bàng, huyện Bàu Bàng, tỉnh Bình Dương",Sản xuất pin và ắc quy,2.348,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1206,1206,Công ty TNHH Taitan Việt Nam,"Lô C-4A-CN, khu công nghiệp Bàu Bàng mở rộng, thị trấn Lai Uyên, huyện Bàu Bàng, tỉnh Bình Dương",Sản xuất pin và ắc quy,1.010,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1207,1207,Công ty TNHH Maruei Việt Nam Precision,"Số 9, đại lộ Độc Lập, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe,1.764,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1208,1208,Công ty TNHH SJF Vina,"Lô C-5A-CN, khu công nghiệp Mỹ Phước 3, phường Thới Hòa, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe,1.414,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1209,1209,Công ty cổ phần S.I Casting Việt Nam,"Đường D2, khu công nghiệp Rạch Bắp, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ,2.488,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1210,1210,Công ty TNHH Seoh w a Vina,"Lô B-2B3, khu công nghiệp Mỹ Phước 3, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ,1.858,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1211,1211,Công ty TNHH DJS,"Lô B-2B, khu công nghiệp Mỹ Phước 3, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ,1.564,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1212,1212,Công ty cổ phần Công nghiệp Fasteners P.H.C.,"Lô CN15, đường N2 & đường số 4, khu công nghiệp Sóng Thần 3, phường Phú Tân, thành phố Thủ Dầu Một, tỉnh Bình Dương","Sản xuất ốc, vít",1.013,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1213,1213,Công ty TNHH Thương mại - Dịch vụ Tân Hiệp Phát,"Số 219, Đại lộ Bình Dương, phường Vĩnh Phú, thành phố Thuận An, tỉnh Bình Dương",Sản xuất nước giải khát,10.637,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1214,1214,Chi nhánh Công ty cổ phần Tico,"Số 83/2B, khu ph ố 1B, phường An Phú, thành phố Thuận An, tỉnh Bình Dương","Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh",1.881,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1215,1215,Chi nhánh Công ty cổ phần U ni be n tại Bình Dương,"Số 32, đường số 30, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh Bình Dương","Sản xuất mì ống, mỳ sợi và sản phẩm tương tự",1.909,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1216,1216,Công ty TNHH MTV Thực phẩm Á Châu III,"Đường số N 1 5, khu công nghiệp Nam Tân Uyên, phường Khánh Bình, thị xã Tân Uyên, tỉnh Bình Dương","Sản xuất mì ống, mỳ sợi và sản phẩm tương tự",1.340,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1217,1217,Công ty TNHH LC Foods,"Ấp Lồ Ồ, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất mì ống, mỳ sợi và sản phẩm tương tự",1.531,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1218,1218,Công ty TNHH Midea Consumer Electric Vietnam,"Số 40, đường số 6, khu công nghiệp VSIP I, phường Bình Hòa, thành phố Thuận An, tỉnh Bình Dương",Sản xuất máy thông dụng khác,1.914,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1219,1219,Công ty TNHH Lực Kỹ,"Lô B2-26, 27, đường số 3, khu công nghiệp Tân Đông Hiệp B, phường Tân Đông Hiệp, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất máy nông nghiệp và lâm nghiệp,1.348,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1220,1220,Công ty TNHH Zeng Hsing Industrial,"Số 28, đường số 28, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất máy chuyên dụng khác,2.164,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1221,1221,Công ty TNHH Takako Việt Nam,"Số 27, đại lộ Độc Lập, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương","Sản xuất máy bơm, máy nén, vòi và van khác",3.476,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1222,1222,Công ty TNHH Estec Việt Nam,"Số 06, đường số 6, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất linh kiện điện tử,2.735,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1223,1223,Công ty TNHH Hariki Precision Việt Nam,"Số 22, đ ại lộ Tự Do, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất linh kiện điện tử,1.341,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1224,1224,Công ty TNHH Kurabe Industrial Việt Nam,"Số 26, đại lộ Tự Do, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất linh kiện điện tử,3.435,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1225,1225,Công ty TNHH Wonderful SG Electric,"Số 16, đường số 10, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất linh kiện điện tử,8.018,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1226,1226,Công ty TNHH Sài Gòn Stec,"Số 07, đường số 7, khu công nghiệp VSIP II, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất linh kiện điện tử,143.611,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1227,1227,Công ty TNHH Lumens Vina,"Lô B 1 M, khu công nghiệp Mỹ Phước 3, phường Chánh Phú Hòa, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất linh kiện điện tử,1.828,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1228,1228,Công ty TNHH Điện tử Foster (Việt Nam),"Số 20, đường số 5, khu công nghiệp VSip II, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất linh kiện điện tử,1.310,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1229,1229,Công ty TNHH Điện tử TT,"Đường số 4, khu công nghiệp Tân Đông Hiệp B, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất linh kiện điện tử,1.182,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1230,1230,Công ty TNHH Sharp Manufacturing Việt Nam,"Số 3, đường số 16, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh B́nh Dương",Sản xuất linh kiện điện tử,2.160,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1231,1231,Công ty TNHH Điện tử thông minh TCL (Việt Nam),"Số 26, đường số 32 , khu công nghiệp VSIP II-A, Bắc Tân Uyên, tỉnh Bình Dương",Sản xuất linh kiện điện tử,2.580,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
